id_produto,nome_produto,categoria,preco
1,Smartphone,Eletrônicos,1936.31
2,Notebook,Eletrônicos,123.78
3,Tablet,Eletrônicos,861.34
4,Smartwatch,Eletrônicos,708.47
5,Fone de Ouvido,Eletrônicos,2222.59
6,Geladeira,Eletrodomésticos,2046.26
7,Micro-ondas,Eletrodomésticos,2681.93
8,Máquina de Lavar,Eletrodomésticos,306.47
9,Fogão,Eletrodomésticos,1294.67
10,Aspirador,Eletrodomésticos,137.9
11,Camiseta,Vestuário,694.98
12,Calça Jeans,Vestuário,1540.8
13,Tênis,Vestuário,128.28
14,Jaqueta,Vestuário,636.57
15,Vestido,Vestuário,1967.16
16,Sofá,Casa,1657.58
17,Mesa,Casa,700.3
18,Cadeira,Casa,1788.33
19,Cama,Casa,2437.82
20,Guarda-roupa,Casa,69.17
