id_venda,id_cliente,id_produto,id_loja,data_venda,quantidade,valor_unitario,valor_total
1,428,16,10,2022-06-13,4,1657.58,6630.32
2,260,19,4,2022-12-15,3,2437.82,7313.46
3,401,19,4,2022-06-09,2,2437.82,4875.64
4,454,20,4,2022-12-11,1,69.17,69.17
5,180,18,4,2022-04-05,4,1788.33,7153.32
6,49,15,2,2022-04-10,3,1967.16,5901.48
7,123,20,8,2022-12-19,5,69.17,345.85
8,78,10,7,2022-09-28,1,137.9,137.9
9,53,2,2,2023-04-16,5,123.78,618.9
10,403,9,3,2022-05-08,4,1294.67,5178.68
11,96,1,10,2022-03-22,5,1936.31,9681.55
12,238,11,1,2022-10-28,5,694.98,3474.9
13,421,2,7,2023-01-06,5,123.78,618.9
14,320,9,3,2022-07-16,1,1294.67,1294.67
15,145,19,2,2022-02-16,2,2437.82,4875.64
16,196,8,2,2022-10-24,1,306.47,306.47
17,95,7,5,2022-08-27,1,2681.93,2681.93
18,252,12,1,2023-01-25,3,1540.8,4622.4
19,255,13,1,2023-04-10,3,128.28,384.84
20,201,5,10,2022-06-16,3,2222.59,6667.77
21,83,16,2,2022-12-30,2,1657.58,3315.16
22,195,3,4,2023-11-18,3,861.34,2584.02
23,137,20,9,2023-12-20,1,69.17,69.17
24,159,19,5,2023-09-16,2,2437.82,4875.64
25,129,9,6,2023-07-01,2,1294.67,2589.34
26,214,5,6,2022-06-17,4,2222.59,8890.36
27,248,8,1,2023-01-24,3,306.47,919.41
28,13,13,7,2023-10-18,5,128.28,641.4
29,126,10,1,2022-08-13,3,137.9,413.7
30,354,7,7,2022-02-27,2,2681.93,5363.86
31,319,15,1,2022-02-02,3,1967.16,5901.48
32,180,6,6,2023-02-15,3,2046.26,6138.78
33,198,19,1,2022-03-09,2,2437.82,4875.64
34,35,20,8,2023-08-04,3,69.17,207.51
35,368,19,2,2022-08-06,4,2437.82,9751.28
36,86,4,10,2023-02-10,4,708.47,2833.88
37,166,13,5,2022-05-27,3,128.28,384.84
38,444,18,1,2022-05-23,2,1788.33,3576.66
39,115,11,1,2023-07-29,5,694.98,3474.9
40,236,15,6,2022-09-27,5,1967.16,9835.8
